Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Die With A Smile,Lady Gaga & Bruno Mars,36,54904658,-0.11%,https://www.youtube.com/watch?v=kPa7bsKwL-c
2,2,APT.,ROSÉ & Bruno Mars,27,50041501,-0.13%,https://www.youtube.com/watch?v=ekr2nIex040
3,4,PASSO BEM SOLTO (Slowed),ATLXS,5,34640151,-0.02%,https://www.youtube.com/watch?v=NT4eF9YsYnM
4,3,El Mayor de los Ranas,Victor Valverde & Jr Torres,14,34636318,-0.13%,https://www.youtube.com/watch?v=4Ez2wJnlwag
5,6,like JENNIE,JENNIE,7,26731463,-0.03%,https://www.youtube.com/watch?v=JSFG-IE8n_c
6,5,Raanjhan,Parampara Thakur,23,24366681,-0.15%,https://www.youtube.com/watch?v=lBvbNxiVmZA
7,7,Aaj Ki Raat,Madhubanti Bagchi & Divya Kumar & Sachin-Jigar,39,24010154,-0.12%,https://www.youtube.com/watch?v=roz9sXFkTuE
8,16,Anxiety,Doechii,7,23859855,0.24%,https://www.youtube.com/watch?v=egemoVK0IKY
9,8,Jhol,Maanu & Annural Khalid,11,23021470,-0.04%,https://www.youtube.com/watch?v=-2RAq5o5pwc
10,10,BIRDS OF A FEATHER,Billie Eilish,45,21577221,-0.05%,https://www.youtube.com/watch?v=V9PVRfjEBTI
11,34,MONTAGEM TOMADA (Slowed),MXZI,3,21130734,0.61%,https://www.youtube.com/watch?v=qN_ecsamhms
12,14,La Plena (W Sound 05),W Sound & Beéle & Ovy On The Drums,8,18870428,-0.05%,https://www.youtube.com/watch?v=F1_aOX0acbY
13,15,Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),Masoom Sharma & Sheenam Katholic,7,18599699,-0.03%,https://www.youtube.com/watch?v=ZZ86YrRjIOs
14,26,Pal Pal,Afusic & AliSoomroMusic,3,18465151,0.26%,https://www.youtube.com/watch?v=8of5w7RgcTc
15,17,RANU BOMBAI KI RANU,Ramu Rathod & Singer Prabha & Kalyan Keys,12,17585649,-0.07%,https://www.youtube.com/watch?v=2voCBpYfFI4
16,11,Si Antes Te Hubiera Conocido,KAROL G,44,17475188,-0.14%,https://www.youtube.com/watch?v=QCZZwZQ4qNs
17,13,Khatole 2,Masoom Sharma,5,17449119,-0.12%,https://www.youtube.com/watch?v=obgMGM6I2rE
18,12,Te Quería Ver,Alemán & Neton Vega,11,17385519,-0.14%,https://www.youtube.com/watch?v=Fu3u83byc5A
19,19,Bắc Bling (Bắc Ninh),Hòa Minzy & NSUT Xuan Hanh & Tuấn Cry,8,17101096,-0.06%,https://www.youtube.com/watch?v=CL13X-8o4h0
20,20,En Privado,Xavi & Manuel Turizo,9,16946177,-0.06%,https://www.youtube.com/watch?v=kE1-O0tU-UU
21,22,OIIA OIIA (Spinning Cat),W&W,11,15583630,-0.03%,https://www.youtube.com/watch?v=IxX_QHay02M
22,27,blue,yung kai,21,14073950,-0.04%,https://www.youtube.com/watch?v=IpFX2vq8HKw
23,32,Premalo,Anurag Kulkarni & Sameera Bharadwaj & Vijay Bulganin & Purna Chari,6,13981989,0.04%,https://www.youtube.com/watch?v=5m9sYqJNoWk
24,29,Stecu Stecu,Faris Adam,3,13790070,-0.01%,https://www.youtube.com/watch?v=2e0BMACvymo
25,21,กุหลาบ (feat. ก้านตอง ทุ่งเงิน & SARAN),F.HERO,10,13771333,-0.18%,https://www.youtube.com/watch?v=ebxzxo_q89Y
26,n/a,दिलवा ले जा रुमाल मे,Pawan Singh,1,13769733,n/a,https://www.youtube.com/watch?v=icoy62wfJMU
27,23,Uyi Amma,Amit Trivedi & Madhubanti Bagchi & Amitabh Bhattacharya,15,13704526,-0.13%,https://www.youtube.com/watch?v=FZLadzn5i6Q
28,25,Not Like Us,Kendrick Lamar,38,12992840,-0.13%,https://www.youtube.com/watch?v=H58vbez_m4E
29,24,Con otra,Cazzu,5,12574797,-0.17%,https://www.youtube.com/watch?v=OA3KsYPhZbw
30,9,luther,Kendrick Lamar & SZA,17,12505848,-0.46%,https://www.youtube.com/watch?v=sNY_2TEmzho
31,28,BAILE INoLVIDABLE,Bad Bunny,15,12445671,-0.13%,https://www.youtube.com/watch?v=a1Femq4NPxs
32,37,Ordinary,Alex Warren,4,12242063,0%,https://www.youtube.com/watch?v=u2ah9tWTkmk
33,30,MATUSHKA ULTRAFUNK,satirin & FUNK DEMON & EVO,5,11978863,-0.14%,https://www.youtube.com/watch?v=7sGWS8IjpEY
34,48,HOLLYWOOD,Peso Pluma & Estevan Plazola,22,11889381,0.06%,https://www.youtube.com/watch?v=rCL8-CiGSmc
35,n/a,Ishq,Faheem Abdullah & Rauhan Malik,28,11843615,n/a,https://www.youtube.com/watch?v=IJeSR-LJBnk
36,36,Abracadabra,Lady Gaga,12,11835483,-0.05%,https://www.youtube.com/watch?v=vBynw9Isr28
37,42,DRIP,BABYMONSTER,25,10989904,-0.07%,https://www.youtube.com/watch?v=Zp-Jhuhq0bQ
38,31,ดวงใจ,ปราง ปรางทิพย์,2,10977167,-0.2%,https://www.youtube.com/watch?v=ZHHl28Lxqww
39,46,SI NO ES CONTIGO,Cris Mj,36,10959912,-0.04%,https://www.youtube.com/watch?v=vX1fgqKXSsk
40,39,MONTAGEM LADRAO (Slowed),ATLXS & MXZI & Itamar Mc,4,10908982,-0.1%,https://www.youtube.com/watch?v=ncIbUXRFEZk
41,40,NADIE,Tito Double P,22,10862225,-0.1%,https://www.youtube.com/watch?v=sI2TE_hYFYQ
42,38,ME JALO,Fuerza Regida & Grupo Frontera,8,10823618,-0.11%,https://www.youtube.com/watch?v=nKX8ZNzuvNs
43,41,Sanam Teri Kasam,Ankit Tiwari & Palak Muchhal & Himesh Reshammiya,11,10773729,-0.1%,https://www.youtube.com/watch?v=kKljXVVkgS4
44,45,NINAO,GIMS,7,10691242,-0.07%,https://www.youtube.com/watch?v=VT2qF97pQNw
45,n/a,WILDFLOWER,Billie Eilish,28,10690123,n/a,https://www.youtube.com/watch?v=IWKyykQBRKo
46,47,Peelings,Kandukuri Shankar Babu & Laxmi Dasa,21,10607158,-0.06%,https://www.youtube.com/watch?v=8RAd-_Qj_ac
47,35,Ladki Deewani,Neelkamal Singh,5,10471587,-0.19%,https://www.youtube.com/watch?v=9Prw3iwgTTE
48,70,Triple Lavada,Esau Ortiz,2,10240889,0.1%,https://www.youtube.com/watch?v=uXce8JsavFo
49,66,Multo,Cup of Joe,2,10222206,0.05%,https://www.youtube.com/watch?v=CcS1fsuT10M
50,77,सड़िया करिया,Ankush Raja & Karishma Kakkar,15,10217688,0.16%,https://www.youtube.com/watch?v=fgLhVyrg5d8
